id,age,sex,year,va_home,hs_gpa,col_gpa,skipped,hrs_hw,major,fav_sub,schooltype,greek,clubs,sports,hrs_workout,hrs_ptjob,morning,hrs_slept,daily_meals,days_drink,drugs,relationship,eat_out,hrs_vgames,enjoy_college,politics,legalize_weed,support_abortion,restrict_guns,too_much_ineq,climate_change_real,defund_police,religion,sibs,fav_season,handedness,fired_gun,fav_music,hrs_music,countries_visited,age_married,intro_v_extro,cats_v_dogs,peak,hogwarts_house,superpower
47,18,Female,Freshman,Richmond Area,3.8800001,3.4000001,0,2.5,Business (Luter school),English,Public,Yes,0,0,1,0,No,8,2,2,No,No,1,0,4,4,3,5,4,3,3,4,Christian,1,Summer,Right,Yes,Country or Folk,2,1,25,3,Dogs,High School,Don't know/Don't like Harry Potter,Teleportation (30 second recharge time)
48,19,Male,Freshman,Hampton Roads,3.8,3.4000001,0,2,"Math or Natural Science (Physics, Chemistry, Biology, Math, CS, etc)",Science,Public,No,1,0,4,0,No,9,1,0,No,No,1,4,3,4,1,3,5,2,3,4,Christian,1,Winter,Left,Yes,Punk,12,8,20,2,Dogs,High School,Slytherin,Teleportation (30 second recharge time)
49,19,Female,Freshman,Other part of VA,3.8,3.3,1,1.5,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",English,Public,Yes,0,0,0,0,No,7,2,0,No,Yes,2,0,2,2,1,2,2,2,2,4,Atheist or Agnostic,1,Fall,Right,No,Other,0,0,23,4,Cats,College,Slytherin,Teleportation (30 second recharge time)
50,19,Female,Sophomore,Other part of VA,3.125,1.86,2,3,"Arts or Humanities (English, Art, Music, History, etc)",Other,Public,Yes,3,0,2,0,Yes,4,,0,No,No,1,0,3,1,1,1,1,1,1,1,Christian,2,Spring,Right,Yes,Classic Rock,5,0,25,2,Cats,College,Hufflepuff,Teleportation (30 second recharge time)
51,21,Female,Senior,Northern VA (DC Area),4,3.9000001,0,4,"Arts or Humanities (English, Art, Music, History, etc)",English,Public,Yes,1,0,3,10,No,6,2,1,No,No,1,1,2,2,1,1,1,2,1,2,Atheist or Agnostic,2,Winter,Right,Yes,Alt Rock,6,1,29,2,Both,College,Hufflepuff,Super speed (like 1/2 the speed of the Flash and w/o the phasing and stuff)
52,22,Male,Senior,Northern VA (DC Area),3.7,3.5999999,,,"Math or Natural Science (Physics, Chemistry, Biology, Math, CS, etc)",Science,Private,No,1,1,6,0,No,7,2,1,No,Yes,2,5,2,2,3,2,1,2,1,4,Christian,2,Spring,Ambidextrous,Yes,Country or Folk,42,0,25,4,Both,High School,Gryffindor,Teleportation (30 second recharge time)
53,18,Female,Freshman,Northern VA (DC Area),3.2,3,0,3,"Arts or Humanities (English, Art, Music, History, etc)",History,Public,No,2,0,4,14,Yes,6,2,0,Yes,Yes,1,0,4,5,1,3,3,4,2,5,Christian,0,Fall,Right,Yes,Country or Folk,1,1,24,3,Both,High School,Slytherin,Teleportation (30 second recharge time)
54,19,Male,Freshman,Richmond Area,3.2,.33000001,1.5,1.5,Business (Luter school),Other,Public,No,0,1,2,0,No,2.5,2,0,,No,3.5,7,5,3,1,2,4,3,1,3,Christian,5,Winter,Right,Yes,Country or Folk,8,7,40,3,Dogs,High School,Don't know/Don't like Harry Potter,Super strength (like Captain America)
55,18,Male,Freshman,Northern VA (DC Area),3.5999999,3.4000001,0,3,"Arts or Humanities (English, Art, Music, History, etc)",English,Public,No,0,0,3,0,No,7,2,0,No,No,0,2,4,4,3,3,3,3,2,4,Christian,1,Winter,Right,Yes,Other,7,1,27,1,Dogs,High School,Don't know/Don't like Harry Potter,Super speed (like 1/2 the speed of the Flash and w/o the phasing and stuff)
56,24,Male,Junior,I'm not from VA,3.3,3.4000001,1,1,Business (Luter school),Science,Public,No,0,0,4,0,No,5,2,2,No,No,2,1,3,3,1,1,3,3,2,4,Christian,5,Spring,Right,Yes,Classic Rock,2,2,30,3,Dogs,College,Hufflepuff,Flight (the speed of the fastest bird)
