id,Age,Sex,Year in school,What part of VA are you from?,"What is your high school GPA? (unweighted) (Please answer with a number, like 3 or 2.5)","What is your college GPA? (Please answer with a number, like 3 or 2.5)","On average, how many times per week do you skip a class? (Please answer with a number, like 0 or 2.5)","On average, how many hours of homework do you do per night? (Please answer with a number, like 0 or 2.5)","Which of the following majors are you considering? If you're planning to double major or minor, choose either one.",What was your favorite subject in high school?,Did you go to a public or private high school?,"Are you currently in, or do you plan to join, a fraternity or sorority?","How many school clubs are you in (Not counting collegiate sports)? Please answer with a number, like 0, or 2.","How many college sports do you play (not counting intramurals)? Please answer with a number, like 0, or 2.","On average, how many times per week do you exercise? Please answer with a number, like 0, or 2.","If you have a part time job, how many hours do you work? (Enter 0 if you don't have a part time job)",Are you a morning person?,"On average, how many hours do you sleep per night? (Please answer with a number, like 0 or 2.5)",How many meals do you eat per day?,"On average, how many days out of the week do you consume alcohol? (Please answer with a number, like 0 or 2.5)",Have you ever tried an illegal drug?,Are you currently in a romantic relationship?,"On average, how many times per week do you eat out (at a restaurant rather than a campus dining hall)? (Please answer with a number, like 0 or 2.5)","On average, how many hours per day do you play video games?","Overall, I'm enjoying my college experience",Where do you lean politically?,Marijuana should be legalized.,"In general, abortion should be allowed.",More laws should be passed that restrict the possession or sale of firearms.,There is too much income inequality in the United States.,Climate change is real.,Defund the police.,"How many siblings do you have? Please answer with a number, like 0, or 2.","Out of these four places, where would you want to live for the rest of your life?",Favorite Dining Hall on Campus,Choose a useless ability you would like to have which serves almost no practical purpose:,Which of the following do you see yourself seeking most in your life?,What made you choose CNU?,What is your favorite time of the year?,Are you left or right handed?,Have you ever fired a gun (any type of firearm; airsoft/paintball/BB-guns don't count)?,"On average, how many hours a day do you listen to music? (Please answer with a number; put zero if you hardly ever listen to music)","How many countries (other than the US) have you visited? Please answer with a number, like 0, or 2.","Ideally, at what age would you like to be married? (answer 0 if you don't want to get married)",Are you an introvert or an extrovert?,Cat person or dog person?
68,19,Male,Freshman,Northern VA (DC Area),3.4,2.2,1,0.75,Business (Luter school),History,Public,No,1,0,3,20,No,7,2,2,Yes,Yes,0.5,1.5,3,5,2,4,4,3,2,5,1,The beach,Common's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,Neither; I want to go with the flow,The campus/enviorment,Summer,Left,Yes,1.5,3,35,4,Dogs
69,18,Male,Freshman,Northern VA (DC Area),3.2,3.82,1,0.5,Business (Luter school),Math,Public,No,0,0,0,15,Yes,7,3,0,No,Yes,2,0,2,2,2,1,2,3,1,4,2,The moutains,Regatta's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,"Meaning, Neither; I want to go with the flow",The campus/enviorment,Spring,Right,No,1,0,26,2,Cats
70,19,Male,Freshman,Richmond Area,2.8,2.8,1,1,"Math or Natural Science (Physics, Chemistry, Biology, Math, CS, etc)",History,Public,No,1,0,6,0,No,6.5,2,0,No,,,3,2,,1,,,,,,,,,,,,,,,,,,4,Dogs
71,19,Male,Freshman,Hampton Roads,2.6,1,1,2,Business (Luter school),Math,Public,No,0,1,2,0,No,7,2,0,No,Yes,4,2,5,4,3,4,1,4,4,5,1,The moutains,Common's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,"Meaning, Money",Sports,Summer,Ambidextrous,Yes,3,0,24,3,Dogs
72,19,Female,Freshman,Hampton Roads,3.9,3.8,1,1.5,"Arts or Humanities (English, Art, Music, History, etc)",English,Private,Yes,1,0,0,0,Yes,6,3,0,No,No,3,0,1,2,2,2,1,2,1,3,2,The beach,Regatta's,Be able to communicate with insects.,Meaning,The campus/enviorment,Summer,Right,Yes,2.5,4,27,3,Dogs
73,19,Male,Freshman,Hampton Roads,3.8,2.34,1,2-3,Business (Luter school),Math,Public,No,0,1,5,12,No,6-7,3,0,No,Yes,1,0,3,5,1,3,3,1,1,3,4,The city,Regatta's,Be able to communicate with insects.,Money,Sports,Fall,Right,Yes,10,0,24,1,Dogs
74,19,Female,Freshman,Northern VA (DC Area),,3.48,0,1,Business (Luter school),Other,Private,No,1,1,7,0,Yes,9,3,0,No,No,0.25,2,2,4,3,5,5,3,2,5,2,The countryside,Common's,Be able to communicate with insects.,Neither; I want to go with the flow,Other,Winter,Ambidextrous,Yes,5,1,25,2,
75,19,Male,Freshman,Northern VA (DC Area),3.8,3,0,0.5,Business (Luter school),Science,Public,No,0,1,7,0,No,6,3,0,No,No,2,1,2,5,3,4,5,4,3,5,1,The beach,Common's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,Money,Sports,Summer,Right,Yes,1.5,10,27,3,Dogs
76,18,Female,Freshman,I'm not from VA,3.4,3.28,,1.5,Business (Luter school),Math,Private,No,0,0,7,12,No,5,2,0,I did not inhale.,No,3,0,2,2,1,3,,1,1,3,2,The countryside,Regatta's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,"Meaning, Money",Other,Summer,Left,No,7,3,23,2,Both
77,19,Male,Freshman,Northern VA (DC Area),3,3.5,2,1,Business (Luter school),History,Public,Yes,2,0,2,0,No,9,2,3,Yes,No,2,1,2,1,1,1,2,1,1,3,2,The city,Regatta's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,"Meaning, Money",The campus/enviorment,Summer,Right,No,2,4,30,3,Dogs
78,19,Male,Freshman,Northern VA (DC Area),3.19,1.9,2,0,,Other,Public,No,,0,,0,No,7,2,0,No,No,1,5,4,3,3,1,3,2,1,4,2,The moutains,,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,Money,The campus/enviorment,Winter,Left,Yes,2,0,,1,Dogs
79,18,Male,Freshman,I'm not from VA,4,3,0,2,"Math or Natural Science (Physics, Chemistry, Biology, Math, CS, etc)",History,Private,No,2,0,4,14,No,7,2,0,No,No,2,3,4,3,4,4,3,2,1,3,0,The countryside,Regatta's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,Meaning,Other,Spring,Right,Yes,1,0,30,3,Dogs
80,18,Male,Freshman,Richmond Area,4.3,2.4,0.5,1.5,"Arts or Humanities (English, Art, Music, History, etc)",History,Public,No,1,0,1,0,No,7,2,0,No,Yes,2,0,3,3,2,1,1,3,1,5,1,The beach,Regatta's,,Money,The campus/enviorment,Summer,Right,Yes,0,0,30,3,Dogs
81,18,Female,Freshman,Northern VA (DC Area),3.5,,,2,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",Science,Public,No,2,0,0,0,No,7,2,,,Yes,2,0,2,1,1,5,1,1,1,4,2,The countryside,Regatta's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,Meaning,Other,Summer,Right,Yes,1,2,25,2,Both
82,19,Female,Freshman,Other part of VA,3.7,1.7,0,2,Business (Luter school),English,Public,Yes,0,0,1,15,No,7,2,0,No,No,1 or 2,0,2,5,3,4,3,3,3,4,3,The beach,Regatta's,Be able to use telekinesis (move objects with your mind) ONLY on objects within 1 meter of your area.,Meaning,The campus/enviorment,Summer,Right,No,4,0,25,5,Dogs
